ユーザID,学校種別(使用）,文理（使用）,アルバイト経験有無,アルバイト経験先,アルバイト店番,アルバイト店名,アルバイト社員番号,アルバイト開始年月,アルバイト期間,[SPI3U]言語(得点),[SPI3U]言語(段階),[SPI3U]非言語(得点),[SPI3U]非言語(段階),[SPI3U]基礎能力総合(得点),[SPI3U]基礎能力総合(段階),[SPI3U]Ａ対人接触,[SPI3U]Ｂ対人折衝,[SPI3U]Ｃ集団統率,[SPI3U]Ｄ協調協力,[SPI3U]Ｅサポート,[SPI3U]Ｆフットワーク,[SPI3U]Ｇスピーディー,[SPI3U]Ｈ予定外対応,[SPI3U]Ｉ自律遂行,[SPI3U]Ｊプレッシャー,[SPI3U]Ｋ着実持続,[SPI3U]Ｌ前例ない課題,[SPI3U]Ｍ企画アイデア,[SPI3U]Ｎ問題分析,[SPI3U]ダミー(1),[SPI3U]ダミー(2),[SPI3U]Ｗ創造重視,[SPI3U]Ｘ結果重視,[SPI3U]Ｙ調和重視,[SPI3U]Ｚ秩序重視,[SPI3U]応答態度Ａ,[SPI3U]ダミー,[SPI3Uフル]マネジメントスタイル座標,[SPI3U]内向-外向2,[SPI3U]調整-統率,[SPI3U]繊細-強靭,[SPI3U]維持‐変革,[SPI3U]活動系,[SPI3U]新卒R社員性格基準,final
16030392,,,,,,,,,,35,2,41,3,"36,5",2,1,1,2,3,4,1,1,2,2,2,3,3,1,2,2,3,1,1,5,4,1,1,Y4,1,2,"1,5","2,5",1,0,0
16030400,大学院（修士）,理系,勤務経験なし,,,,,,,29,1,59,5,"43,5",3,3,3,4,4,5,3,3,3,4,3,5,3,3,3,5,5,3,4,4,5,1,1,Z1,3,4,3,3,3,4,0
16030405,大学,文系,勤務経験なし,,,,,,,55,5,58,5,"57,5",5,3,4,5,3,4,4,3,4,4,4,3,3,3,3,3,2,4,3,3,3,1,1,W4,3,"4,5",4,"3,5","3,5","3,5",0
16030408,大学,文系,勤務経験なし,,,,,,,67,6,36,2,"51,5",4,3,3,3,1,2,5,5,5,5,3,2,5,4,3,5,2,4,2,2,2,1,1,W4,3,4,3,5,5,"2,8",0
16030409,大学,文系,勤務経験なし,B社,1432,店名_616,654970,41487,6カ月以上,53,4,51,4,"52,5",4,4,4,3,5,4,3,3,3,3,3,4,3,3,4,4,5,4,3,5,5,1,1,Y4,4,3,"3,5",3,3,4,0
16030411,大学,文系,勤務経験なし,,,,,,,35,2,42,3,37,2,4,2,2,5,5,2,1,1,1,2,4,1,1,2,1,3,2,1,5,5,1,1,Y4,4,"1,5",2,1,"1,5","3,8",0
16030423,大学,文系,勤務経験なし,,,,,,,68,6,61,5,"66,5",6,5,5,5,2,2,5,5,5,5,5,3,5,5,5,6,5,5,5,2,3,1,1,X1,5,5,5,5,5,"3,5",0
16030449,大学,理系,勤務経験なし,,,,,,,52,4,51,4,"51,5",4,3,3,4,3,3,3,4,4,5,4,3,5,5,3,6,3,4,3,3,3,1,1,W4,3,"4,5","3,5","4,5","3,5","3,5",0
16030461,大学,文系,勤務経験なし,,,,,,,51,4,36,2,"42,5",3,2,2,3,5,5,2,2,2,2,2,5,1,3,3,3,3,1,3,5,4,1,1,Y4,2,"2,5",2,"1,5",2,"3,5",0
16030464,大学,文系,勤務経験なし,,,,,,,54,5,54,5,"54,5",5,5,5,4,3,3,5,5,5,3,4,1,5,4,3,5,2,5,2,3,1,1,1,W1,5,"3,5","4,5",5,5,"3,5",0
